Run	FFreq	FAmp	TRuox	TCx
1.000000000000000000e+00	1.370329999999999900e+03	3.164999999999999800e-02	3.439699354065919900e-01	3.211109834396877700e-03
2.000000000000000000e+00	1.375319999999999900e+03	3.153400000000000000e-02	3.449772291336719600e-01	5.385564928240615500e-04
3.000000000000000000e+00	1.370400000000000100e+03	3.070099999999999900e-02	4.779295160324361100e-01	6.583115012897816800e-04
4.000000000000000000e+00	1.375250000000000000e+03	3.050500000000000100e-02	4.800545505944922000e-01	1.017857668212000500e-03
5.000000000000000000e+00	1.370380000000000100e+03	2.761699999999999900e-02	6.894715767280728000e-01	8.720327903771562100e-04
6.000000000000000000e+00	1.375270000000000000e+03	2.742800000000000100e-02	6.935897577761449600e-01	1.987502394496004800e-03
7.000000000000000000e+00	1.370349999999999900e+03	2.343800000000000100e-02	9.432264127229389400e-01	8.137775880004944400e-04
8.000000000000000000e+00	1.375200000000000000e+03	2.325899999999999800e-02	9.480461486556998100e-01	2.763218962518856700e-03
9.000000000000000000e+00	1.370390000000000100e+03	1.973799999999999900e-02	1.188224227340133100e+00	2.227871619268383700e-03
1.000000000000000000e+01	1.375220000000000000e+03	1.949899999999999900e-02	1.197626566915941800e+00	6.505971415150287600e-03
1.100000000000000000e+01	1.370290000000000000e+03	1.689999999999999800e-02	1.402738047871700900e+00	4.381524019376569300e-03
1.200000000000000000e+01	1.375230000000000000e+03	1.689800000000000000e-02	1.397933009213798300e+00	2.150582910040865000e-03
1.300000000000000000e+01	1.370349999999999900e+03	1.719199999999999900e-02	1.395422492871444300e+00	5.137007786336614600e-03
1.400000000000000000e+01	1.375240000000000000e+03	1.702899999999999900e-02	1.395947161987378700e+00	2.315514271131365500e-03
1.500000000000000000e+01	1.370319999999999900e+03	1.709799999999999900e-02	1.396588291827966000e+00	3.077979862582960600e-03
1.600000000000000000e+01	1.375210000000000000e+03	1.697100000000000000e-02	1.399250383602080000e+00	2.521943896780558700e-03
1.700000000000000000e+01	1.370270000000000000e+03	1.315099999999999900e-02	1.560000000000000100e+00	6.000000000000000100e-03
1.800000000000000000e+01	1.375130000000000100e+03	1.310700000000000100e-02	1.598000000000000100e+00	1.400000000000000000e-02
1.900000000000000000e+01	1.370369999999999900e+03	1.329299999999999900e-02	1.607000000000000000e+00	7.000000000000000100e-03
2.000000000000000000e+01	1.375160000000000100e+03	1.315800000000000000e-02	1.556999999999999900e+00	7.000000000000000100e-03
2.100000000000000000e+01	1.370319999999999900e+03	1.149300000000000000e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.200000000000000000e+01	1.375190000000000100e+03	1.133100000000000100e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.300000000000000000e+01	1.370609999999999900e+03	7.400600000000000200e-03	0.000000000000000000e+00	0.000000000000000000e+00
