#Data acquisition DATA FILE 
#
#Program Version 4.0.1-H&H_May_09
#Start time & date: 22:07:33 2010_05_10
#Write Time:21:19:51   Date: 2010_05_11 
#Station nr:5 
#B(T) = alpha*I + Beta*I^3 + gamma*I^5 (I in kA)
#alpha=8.822e-01 	beta=3.104e-06 	gamma=-7.279e-10 
#
#Device type:
#	1: Keithley 199
#	2: Keithley 182 or 2182
#	3: Keithley 2000
#	4: AVS46
#	5: KUN Resistance bridge
#	9: Eg&g Lockin 5210 X
#	10: Eg&g Lockin 5210 X & Y
#	11: Eg&g Lockin 5210 Amplitude & Phase
#	12: Eg&g Lockin 7260 X&Y
#	13: Eg&g Lockin 7260 Amplitude, Phase & Frequency
#	14: Stanford Lockin 530 X & Y
#	15: Stanford Lockin 530 Amplitude & Phase
#	16: Stanford Lockin 830 X & Y
#	17: Stanford Lockin 830 Amplitude & Phase
#	18: AH2500H Capacitance bridge
#	19: AH2700H Capacitance bridge
#	20: AH2700H Capacitance bridge, without reset
#	21: LS340 Temperature controller sensor A&B
#	22: LS340 Temperature controller sensor A val&Calc in oK
#	25: Magnet current read from file: 
#	26: Current(kA) via K182_GPIB-Enet/100 -> Field(Tesla)
#		  Current= K182_1*-2.000000 +K182_2 * -2.000000 
#	27: K199 temperature sensor->T(oK)
#	28: DVR5
#	31: Stanford Lockin 830 Amplitude, Phase & Frequency
#	32: Oxford IPS 120-10 Superconductor power supply
#	33:IXE-alpha stepper motor driver with HEDL-counters

#dev=1 Acquired: address=1 type=26

#dev=2 Acquired: address=10 type=22

#dev=3 Acquired: address=3 type=16

#dev=4 Acquired: address=6 type=16

#dev=5 Acquired: address=1 type=16
#-----------------------------------------------------------
#
Time(sec)	I(kA)(via K182_1&2)	Field(T)	Dev2_LS340_A_R_Input	Dev2_A_Calc.(K)	Dev3SR830_X	Dev3_Y	Dev4SR830_X	Dev4_Y	Dev5SR830_X	Dev5_Y

 84847.855	 1.04000000e-03	 9.17508800e-04	 3.27477000e+02	 3.53800000e+01	 2.38420000e-07	 4.76841000e-07	 1.93120000e-04	 8.34469000e-07	 9.31328000e-09	 1.21073000e-08
 84849.807	 1.04000000e-03	 9.17508800e-04	 3.27463000e+02	 3.53830000e+01	 1.19210000e-07	 3.57630000e-07	 1.93954000e-04	 8.34469000e-07	 2.98025000e-08	 1.02446000e-08
 84850.807	 1.06000000e-03	 9.35153200e-04	 3.27450000e+02	 3.53850000e+01	 1.19210000e-07	 3.57630000e-07	 1.94908000e-04	 8.34469000e-07	 9.31328000e-09	 2.14205000e-08
 84851.807	 1.06000000e-03	 9.35153200e-04	 3.27435000e+02	 3.53870000e+01	 2.38420000e-07	 3.57630000e-07	 1.95743000e-04	 8.34469000e-07	 8.38196000e-09	 5.58796000e-09
 84852.807	 1.08000000e-03	 9.52797600e-04	 3.27420000e+02	 3.53890000e+01	 1.19210000e-07	 3.57630000e-07	 1.96696000e-04	 8.34469000e-07	 4.93603000e-08	 -1.86266000e-09
 84853.807	 1.04000000e-03	 9.17508800e-04	 3.27407000e+02	 3.53910000e+01	 2.38420000e-07	 4.76841000e-07	 1.97769000e-04	 8.34469000e-07	 1.21073000e-08	 -3.72532000e-09
 84854.807	 1.06000000e-03	 9.35153200e-04	 3.27390000e+02	 3.53930000e+01	 2.38420000e-07	 4.76841000e-07	 1.98604000e-04	 8.34469000e-07	 1.21073000e-08	 -4.65664000e-09
 84855.807	 1.08000000e-03	 9.52797600e-04	 3.27375000e+02	 3.53960000e+01	 1.19210000e-07	 4.76841000e-07	 1.99438000e-04	 8.34469000e-07	 1.67639000e-08	 -5.21543000e-08
 84856.807	 1.08000000e-03	 9.52797600e-04	 3.27362000e+02	 3.53980000e+01	 2.38420000e-07	 4.76841000e-07	 2.00273000e-04	 8.34469000e-07	 2.51458000e-08	 -1.21073000e-08
 84857.807	 1.08000000e-03	 9.52797600e-04	 3.27348000e+02	 3.54000000e+01	 2.38420000e-07	 5.96050000e-07	 2.01226000e-04	 8.34469000e-07	 6.42617000e-08	 3.07339000e-08
 84858.807	 1.06000000e-03	 9.35153200e-04	 3.27331000e+02	 3.54020000e+01	 2.38420000e-07	 3.57630000e-07	 2.02180000e-04	 8.34469000e-07	 4.65664000e-08	 -5.58796000e-09
 84859.807	 1.08000000e-03	 9.52797600e-04	 3.27317000e+02	 3.54040000e+01	 2.38420000e-07	 4.76841000e-07	 2.03014000e-04	 8.34469000e-07	 3.91158000e-08	 -7.45064000e-09
 84860.807	 1.08000000e-03	 9.52797600e-04	 3.27304000e+02	 3.54060000e+01	 2.38420000e-07	 4.76841000e-07	 2.03730000e-04	 8.34469000e-07	 5.21543000e-08	 1.39699000e-08
 84861.807	 1.08000000e-03	 9.52797600e-04	 3.27292000e+02	 3.54080000e+01	 2.38420000e-07	 4.76841000e-07	 2.04564000e-04	 8.34469000e-07	 2.88711000e-08	 7.45064000e-09
 84862.807	 1.06000000e-03	 9.35153200e-04	 3.27278000e+02	 3.54100000e+01	 2.38420000e-07	 3.57630000e-07	 2.05279000e-04	 8.34469000e-07	 2.51458000e-08	 1.11759000e-08
 84863.807	 1.06000000e-03	 9.35153200e-04	 3.27263000e+02	 3.54120000e+01	 2.38420000e-07	 3.57630000e-07	 2.06352000e-04	 8.34469000e-07	 3.25965000e-08	 2.04892000e-08
 84864.807	 1.06000000e-03	 9.35153200e-04	 3.27251000e+02	 3.54140000e+01	 2.38420000e-07	 4.76841000e-07	 2.07187000e-04	 8.34469000e-07	 -6.51929000e-09	 1.39699000e-08
 84865.807	 1.10000000e-03	 9.70442000e-04	 3.27235000e+02	 3.54170000e+01	 2.38420000e-07	 4.76841000e-07	 2.07783000e-04	 8.34469000e-07	 2.04892000e-08	 4.65664000e-09
 84866.807	 1.04000000e-03	 9.17508800e-04	 3.27220000e+02	 3.54190000e+01	 2.38420000e-07	 4.76841000e-07	 2.08617000e-04	 8.34469000e-07	 9.31330000e-10	 -1.67639000e-08
 84867.807	 1.12000000e-03	 9.88086400e-04	 3.27206000e+02	 3.54210000e+01	 2.38420000e-07	 4.76841000e-07	 2.09452000e-04	 8.34469000e-07	 1.86266000e-08	 -2.79398000e-09
 84868.807	 1.06000000e-03	 9.35153200e-04	 3.27193000e+02	 3.54230000e+01	 2.38420000e-07	 4.76841000e-07	 2.10167000e-04	 9.53682000e-07	 1.11759000e-08	 -7.45064000e-09
 84869.807	 1.08000000e-03	 9.52797600e-04	 3.27185000e+02	 3.54240000e+01	 2.38420000e-07	 3.57630000e-07	 2.10882000e-04	 9.53682000e-07	 -2.79398000e-09	 3.72532000e-09
 84870.807	 1.10000000e-03	 9.70442000e-04	 3.27169000e+02	 3.54270000e+01	 2.38420000e-07	 4.76841000e-07	 2.11717000e-04	 9.53682000e-07	 -6.51929000e-09	 2.60771000e-08
 84871.807	 1.10000000e-03	 9.70442000e-04	 3.27158000e+02	 3.54280000e+01	 2.38420000e-07	 3.57630000e-07	 2.12551000e-04	 8.34469000e-07	 -1.11759000e-08	 3.44592000e-08
 84872.807	 1.00000000e-03	 8.82220000e-04	 3.27145000e+02	 3.54300000e+01	 2.38420000e-07	 3.57630000e-07	 2.13386000e-04	 9.53682000e-07	 1.02446000e-08	 1.86266000e-09
 84873.807	 1.08000000e-03	 9.52797600e-04	 3.27131000e+02	 3.54320000e+01	 2.38420000e-07	 4.76841000e-07	 2.13982000e-04	 9.53682000e-07	 -2.79398000e-09	 -2.14205000e-08
 84874.807	 1.06000000e-03	 9.35153200e-04	 3.27123000e+02	 3.54340000e+01	 2.38420000e-07	 3.57630000e-07	 2.14816000e-04	 9.53682000e-07	 -1.95579000e-08	 -3.72531000e-08
 84875.807	 1.10000000e-03	 9.70442000e-04	 3.27113000e+02	 3.54350000e+01	 2.38420000e-07	 4.76841000e-07	 2.15412000e-04	 9.53682000e-07	 -2.23519000e-08	 1.67639000e-08
 84876.807	 1.06000000e-03	 9.35153200e-04	 3.27101000e+02	 3.54370000e+01	 2.38420000e-07	 4.76841000e-07	 2.16008000e-04	 9.53682000e-07	 -1.11759000e-08	 -1.67639000e-08
 84877.807	 1.00000000e-03	 8.82220000e-04	 3.27091000e+02	 3.54380000e+01	 2.38420000e-07	 4.76841000e-07	 2.16604000e-04	 9.53682000e-07	 -1.49013000e-08	 -1.02446000e-08
 84878.807	 1.04000000e-03	 9.17508800e-04	 3.27083000e+02	 3.54390000e+01	 2.38420000e-07	 4.76841000e-07	 2.17081000e-04	 9.53682000e-07	 2.04892000e-08	 4.65664000e-09
 84879.807	 1.06000000e-03	 9.35153200e-04	 3.27073000e+02	 3.54410000e+01	 2.38420000e-07	 4.76841000e-07	 2.17677000e-04	 9.53682000e-07	 -4.65664000e-09	 2.32832000e-08
 84880.807	 1.08000000e-03	 9.52797600e-04	 3.27064000e+02	 3.54420000e+01	 2.38420000e-07	 4.76841000e-07	 2.18154000e-04	 9.53682000e-07	 -7.45064000e-09	 -4.65664000e-09
 84881.807	 1.00000000e-03	 8.82220000e-04	 3.27057000e+02	 3.54430000e+01	 2.38420000e-07	 4.76841000e-07	 2.18631000e-04	 9.53682000e-07	 4.65664000e-09	 -5.58796000e-09
 84882.807	 1.08000000e-03	 9.52797600e-04	 3.27047000e+02	 3.54450000e+01	 2.38420000e-07	 4.76841000e-07	 2.19227000e-04	 9.53682000e-07	 -1.11759000e-08	 -6.51929000e-09
 84883.807	 1.08000000e-03	 9.52797600e-04	 3.27041000e+02	 3.54460000e+01	 2.38420000e-07	 3.57630000e-07	 2.19823000e-04	 9.53682000e-07	 6.51929000e-09	 1.49013000e-08
 84884.807	 1.02000000e-03	 8.99864400e-04	 3.27029000e+02	 3.54480000e+01	 2.38420000e-07	 4.76841000e-07	 2.20180000e-04	 9.53682000e-07	 4.37724000e-08	 1.11759000e-08
 84885.807	 1.06000000e-03	 9.35153200e-04	 3.27024000e+02	 3.54480000e+01	 2.38420000e-07	 4.76841000e-07	 2.20538000e-04	 9.53682000e-07	 2.60771000e-08	 -5.02916000e-08
 84886.807	 1.08000000e-03	 9.52797600e-04	 3.27016000e+02	 3.54500000e+01	 2.38420000e-07	 4.76841000e-07	 2.20896000e-04	 9.53682000e-07	 4.00471000e-08	 -5.86735000e-08
 84887.807	 1.10000000e-03	 9.70442000e-04	 3.27008000e+02	 3.54510000e+01	 3.57630000e-07	 5.96050000e-07	 2.21492000e-04	 9.53682000e-07	 6.33304000e-08	 -2.32832000e-08
 84888.807	 1.12000000e-03	 9.88086400e-04	 3.26999000e+02	 3.54520000e+01	 3.57630000e-07	 5.96050000e-07	 2.22088000e-04	 9.53682000e-07	 1.86266000e-08	 -8.38196000e-09
 84889.807	 1.02000000e-03	 8.99864400e-04	 3.26991000e+02	 3.54530000e+01	 3.57630000e-07	 4.76841000e-07	 2.22445000e-04	 9.53682000e-07	 1.58326000e-08	 8.38196000e-09
 84890.807	 1.02000000e-03	 8.99864400e-04	 3.26985000e+02	 3.54540000e+01	 2.38420000e-07	 3.57630000e-07	 2.22565000e-04	 9.53682000e-07	 -1.30386000e-08	 1.76952000e-08
 84891.807	 1.08000000e-03	 9.52797600e-04	 3.26975000e+02	 3.54560000e+01	 2.38420000e-07	 3.57630000e-07	 2.22803000e-04	 9.53682000e-07	 1.49013000e-08	 3.72531000e-08
 84892.807	 1.06000000e-03	 9.35153200e-04	 3.26966000e+02	 3.54570000e+01	 3.57630000e-07	 4.76841000e-07	 2.23280000e-04	 9.53682000e-07	 7.45064000e-09	 -5.58796000e-09
 84893.807	 1.10000000e-03	 9.70442000e-04	 3.26960000e+02	 3.54580000e+01	 3.57630000e-07	 4.76841000e-07	 2.23757000e-04	 9.53682000e-07	 3.63218000e-08	 -1.49013000e-08
 84894.807	 1.12000000e-03	 9.88086400e-04	 3.26955000e+02	 3.54590000e+01	 3.57630000e-07	 3.57630000e-07	 2.24234000e-04	 9.53682000e-07	 1.11759000e-08	 -9.31327000e-08
 84895.807	 1.06000000e-03	 9.35153200e-04	 3.26945000e+02	 3.54600000e+01	 3.57630000e-07	 4.76841000e-07	 2.24591000e-04	 9.53682000e-07	 1.76952000e-08	 -2.88711000e-08
 84896.807	 1.12000000e-03	 9.88086400e-04	 3.26939000e+02	 3.54610000e+01	 3.57630000e-07	 4.76841000e-07	 2.25068000e-04	 9.53682000e-07	 -6.23991000e-08	 -7.45064000e-09
 84897.807	 1.10000000e-03	 9.70442000e-04	 3.26929000e+02	 3.54630000e+01	 3.57630000e-07	 4.76841000e-07	 2.25426000e-04	 9.53682000e-07	 -8.56821000e-08	 -4.56350000e-08
 84898.807	 1.08000000e-03	 9.52797600e-04	 3.26922000e+02	 3.54640000e+01	 3.57630000e-07	 3.57630000e-07	 2.25783000e-04	 9.53682000e-07	 2.23519000e-08	 3.91158000e-08
 84899.807	 1.14000000e-03	 1.00573080e-03	 3.26916000e+02	 3.54650000e+01	 3.57630000e-07	 3.57630000e-07	 2.26141000e-04	 9.53682000e-07	 -1.21073000e-08	 1.02446000e-08
 84900.807	 1.10000000e-03	 9.70442000e-04	 3.26907000e+02	 3.54660000e+01	 3.57630000e-07	 4.76841000e-07	 2.26499000e-04	 9.53682000e-07	 -2.60771000e-08	 -9.31328000e-09
 84901.807	 1.06000000e-03	 9.35153200e-04	 3.26898000e+02	 3.54670000e+01	 3.57630000e-07	 4.76841000e-07	 2.26856000e-04	 9.53682000e-07	 -1.86266000e-08	 -2.51458000e-08
 84902.807	 1.10000000e-03	 9.70442000e-04	 3.26889000e+02	 3.54690000e+01	 3.57630000e-07	 3.57630000e-07	 2.27214000e-04	 9.53682000e-07	 3.53905000e-08	 4.19097000e-08
 84903.807	 1.04000000e-03	 9.17508800e-04	 3.26882000e+02	 3.54700000e+01	 3.57630000e-07	 3.57630000e-07	 2.27571000e-04	 9.53682000e-07	 2.42145000e-08	 5.30856000e-08
 84904.807	 1.08000000e-03	 9.52797600e-04	 3.26876000e+02	 3.54710000e+01	 3.57630000e-07	 4.76841000e-07	 2.27929000e-04	 9.53682000e-07	 2.88711000e-08	 4.74977000e-08
 84905.807	 1.08000000e-03	 9.52797600e-04	 3.26869000e+02	 3.54720000e+01	 3.57630000e-07	 4.76841000e-07	 2.28406000e-04	 9.53682000e-07	 -1.11759000e-08	 5.30856000e-08
 84906.807	 1.10000000e-03	 9.70442000e-04	 3.26860000e+02	 3.54730000e+01	 3.57630000e-07	 4.76841000e-07	 2.28644000e-04	 9.53682000e-07	 -3.07339000e-08	 5.58796000e-08
 84907.807	 1.04000000e-03	 9.17508800e-04	 3.26852000e+02	 3.54740000e+01	 3.57630000e-07	 4.76841000e-07	 2.29240000e-04	 9.53682000e-07	 -2.98025000e-08	 1.58326000e-08
 84908.807	 1.06000000e-03	 9.35153200e-04	 3.26845000e+02	 3.54750000e+01	 3.57630000e-07	 3.57630000e-07	 2.29479000e-04	 9.53682000e-07	 6.51929000e-09	 -9.31330000e-10
 84909.807	 1.08000000e-03	 9.52797600e-04	 3.26837000e+02	 3.54760000e+01	 3.57630000e-07	 3.57630000e-07	 2.29836000e-04	 9.53682000e-07	 -9.31330000e-10	 -3.35278000e-08
 84910.807	 1.08000000e-03	 9.52797600e-04	 3.26831000e+02	 3.54780000e+01	 3.57630000e-07	 4.76841000e-07	 2.30313000e-04	 9.53682000e-07	 -4.28411000e-08	 -2.42145000e-08
 84911.807	 1.08000000e-03	 9.52797600e-04	 3.26821000e+02	 3.54790000e+01	 3.57630000e-07	 3.57630000e-07	 2.30671000e-04	 9.53682000e-07	 2.04892000e-08	 -1.95579000e-08
 84912.807	 1.10000000e-03	 9.70442000e-04	 3.26815000e+02	 3.54800000e+01	 3.57630000e-07	 4.76841000e-07	 2.30909000e-04	 9.53682000e-07	 3.81845000e-08	 -2.70085000e-08
 84913.807	 1.12000000e-03	 9.88086400e-04	 3.26810000e+02	 3.54810000e+01	 3.57630000e-07	 3.57630000e-07	 2.31267000e-04	 9.53682000e-07	 -5.58796000e-09	 -1.86266000e-08
 84914.807	 1.10000000e-03	 9.70442000e-04	 3.26802000e+02	 3.54820000e+01	 3.57630000e-07	 4.76841000e-07	 2.31744000e-04	 9.53682000e-07	 -2.14205000e-08	 1.21073000e-08
 84915.807	 1.10000000e-03	 9.70442000e-04	 3.26793000e+02	 3.54830000e+01	 3.57630000e-07	 4.76841000e-07	 2.31982000e-04	 9.53682000e-07	 3.72532000e-09	 -2.04892000e-08
 84916.807	 1.08000000e-03	 9.52797600e-04	 3.26791000e+02	 3.54830000e+01	 3.57630000e-07	 4.76841000e-07	 2.32221000e-04	 9.53682000e-07	 2.42145000e-08	 4.65664000e-09
 84917.807	 1.04000000e-03	 9.17508800e-04	 3.26788000e+02	 3.54840000e+01	 3.57630000e-07	 4.76841000e-07	 2.32340000e-04	 9.53682000e-07	 -3.16652000e-08	 5.30856000e-08
 84918.807	 1.10000000e-03	 9.70442000e-04	 3.26785000e+02	 3.54840000e+01	 3.57630000e-07	 4.76841000e-07	 2.32459000e-04	 9.53682000e-07	 4.65664000e-09	 -6.98496000e-08
 84919.807	 1.04000000e-03	 9.17508800e-04	 3.26781000e+02	 3.54850000e+01	 3.57630000e-07	 4.76841000e-07	 2.32578000e-04	 9.53682000e-07	 1.39699000e-08	 -8.94074000e-08
 84920.807	 1.08000000e-03	 9.52797600e-04	 3.26780000e+02	 3.54850000e+01	 3.57630000e-07	 3.57630000e-07	 2.32697000e-04	 9.53682000e-07	 -7.63689000e-08	 -1.58326000e-08
 84921.807	 1.08000000e-03	 9.52797600e-04	 3.26779000e+02	 3.54850000e+01	 3.57630000e-07	 4.76841000e-07	 2.32697000e-04	 9.53682000e-07	 -4.28411000e-08	 6.61244000e-08
 84922.807	 1.06000000e-03	 9.35153200e-04	 3.26778000e+02	 3.54850000e+01	 3.57630000e-07	 3.57630000e-07	 2.32697000e-04	 9.53682000e-07	 1.39699000e-08	 -1.86266000e-08
 84923.807	 1.04000000e-03	 9.17508800e-04	 3.26777000e+02	 3.54850000e+01	 3.57630000e-07	 4.76841000e-07	 2.32697000e-04	 9.53682000e-07	 5.58796000e-09	 -4.00471000e-08
 84924.807	 1.06000000e-03	 9.35153200e-04	 3.26775000e+02	 3.54860000e+01	 3.57630000e-07	 4.76841000e-07	 2.32697000e-04	 9.53682000e-07	 3.44592000e-08	 -3.35278000e-08
 84925.807	 1.04000000e-03	 9.17508800e-04	 3.26774000e+02	 3.54860000e+01	 3.57630000e-07	 4.76841000e-07	 2.32697000e-04	 9.53682000e-07	 -6.89183000e-08	 1.86266000e-09
 84926.807	 1.08000000e-03	 9.52797600e-04	 3.26775000e+02	 3.54860000e+01	 3.57630000e-07	 3.57630000e-07	 2.32817000e-04	 9.53682000e-07	 3.16652000e-08	 1.58326000e-08
 84927.807	 1.04000000e-03	 9.17508800e-04	 3.26775000e+02	 3.54860000e+01	 3.57630000e-07	 3.57630000e-07	 2.32697000e-04	 9.53682000e-07	 3.72531000e-08	 7.45064000e-09
 84928.807	 1.06000000e-03	 9.35153200e-04	 3.26774000e+02	 3.54860000e+01	 3.57630000e-07	 3.57630000e-07	 2.32578000e-04	 9.53682000e-07	 2.79398000e-09	 9.31328000e-09
 84929.807	 1.08000000e-03	 9.52797600e-04	 3.26772000e+02	 3.54860000e+01	 3.57630000e-07	 3.57630000e-07	 2.32578000e-04	 9.53682000e-07	 3.07339000e-08	 -1.11759000e-08
 84930.807	 1.04000000e-03	 9.17508800e-04	 3.26773000e+02	 3.54860000e+01	 3.57630000e-07	 3.57630000e-07	 2.32578000e-04	 9.53682000e-07	 6.61244000e-08	 -3.81845000e-08
 84931.807	 1.12000000e-03	 9.88086400e-04	 3.26772000e+02	 3.54860000e+01	 3.57630000e-07	 3.57630000e-07	 2.32578000e-04	 9.53682000e-07	 2.98025000e-08	 -1.67639000e-08
 84932.807	 1.06000000e-03	 9.35153200e-04	 3.26773000e+02	 3.54860000e+01	 3.57630000e-07	 4.76841000e-07	 2.32459000e-04	 9.53682000e-07	 1.95579000e-08	 -2.14205000e-08
 84933.807	 1.04000000e-03	 9.17508800e-04	 3.26773000e+02	 3.54860000e+01	 3.57630000e-07	 4.76841000e-07	 2.32101000e-04	 9.53682000e-07	 9.31328000e-09	 3.72532000e-09
 84934.807	 1.02000000e-03	 8.99864400e-04	 3.26772000e+02	 3.54860000e+01	 3.57630000e-07	 4.76841000e-07	 2.31982000e-04	 9.53682000e-07	 4.37724000e-08	 1.39699000e-08
 84935.807	 1.06000000e-03	 9.35153200e-04	 3.26773000e+02	 3.54860000e+01	 3.57630000e-07	 4.76841000e-07	 2.31744000e-04	 9.53682000e-07	 3.07339000e-08	 -1.86266000e-08
 84936.807	 1.10000000e-03	 9.70442000e-04	 3.26772000e+02	 3.54860000e+01	 3.57630000e-07	 4.76841000e-07	 2.31625000e-04	 9.53682000e-07	 -4.84290000e-08	 1.95579000e-08
 84937.807	 1.08000000e-03	 9.52797600e-04	 3.26771000e+02	 3.54860000e+01	 3.57630000e-07	 4.76841000e-07	 2.31625000e-04	 9.53682000e-07	 -4.00471000e-08	 1.76952000e-08
 84938.807	 1.08000000e-03	 9.52797600e-04	 3.26768000e+02	 3.54870000e+01	 3.57630000e-07	 3.57630000e-07	 2.31505000e-04	 9.53682000e-07	 -4.74977000e-08	 -5.12230000e-08
 84939.807	 1.08000000e-03	 9.52797600e-04	 3.26767000e+02	 3.54870000e+01	 3.57630000e-07	 4.76841000e-07	 2.31505000e-04	 9.53682000e-07	 2.79398000e-09	 -1.95579000e-08
 84940.807	 1.12000000e-03	 9.88086400e-04	 3.26768000e+02	 3.54870000e+01	 3.57630000e-07	 4.76841000e-07	 2.31505000e-04	 9.53682000e-07	 3.25965000e-08	 -5.58796000e-09
 84941.807	 1.08000000e-03	 9.52797600e-04	 3.26766000e+02	 3.54870000e+01	 3.57630000e-07	 4.76841000e-07	 2.31148000e-04	 9.53682000e-07	 4.65664000e-08	 1.76952000e-08
 84942.807	 1.08000000e-03	 9.52797600e-04	 3.26766000e+02	 3.54870000e+01	 3.57630000e-07	 3.57630000e-07	 2.31029000e-04	 9.53682000e-07	 4.84290000e-08	 -7.54376000e-08
 84943.807	 1.10000000e-03	 9.70442000e-04	 3.26766000e+02	 3.54870000e+01	 3.57630000e-07	 4.76841000e-07	 2.30909000e-04	 9.53682000e-07	 2.51458000e-08	 -3.53905000e-08
 84944.807	 1.10000000e-03	 9.70442000e-04	 3.26764000e+02	 3.54880000e+01	 3.57630000e-07	 4.76841000e-07	 2.30671000e-04	 9.53682000e-07	 4.65664000e-08	 9.31328000e-09
 84945.807	 1.06000000e-03	 9.35153200e-04	 3.26763000e+02	 3.54880000e+01	 3.57630000e-07	 3.57630000e-07	 2.30671000e-04	 9.53682000e-07	 -1.95579000e-08	 -7.45064000e-09
 84946.807	 1.02000000e-03	 8.99864400e-04	 3.26763000e+02	 3.54880000e+01	 3.57630000e-07	 4.76841000e-07	 2.30432000e-04	 9.53682000e-07	 -1.58326000e-08	 3.25965000e-08
 84947.807	 1.04000000e-03	 9.17508800e-04	 3.26761000e+02	 3.54880000e+01	 3.57630000e-07	 3.57630000e-07	 2.30432000e-04	 9.53682000e-07	 8.38196000e-09	 3.63218000e-08
 84948.807	 1.06000000e-03	 9.35153200e-04	 3.26761000e+02	 3.54880000e+01	 3.57630000e-07	 3.57630000e-07	 2.30432000e-04	 9.53682000e-07	 1.21073000e-08	 3.63218000e-08
 84949.807	 1.08000000e-03	 9.52797600e-04	 3.26760000e+02	 3.54880000e+01	 3.57630000e-07	 4.76841000e-07	 2.30432000e-04	 9.53682000e-07	 -2.70085000e-08	 4.19097000e-08
 84950.807	 1.04000000e-03	 9.17508800e-04	 3.26759000e+02	 3.54880000e+01	 3.57630000e-07	 4.76841000e-07	 2.30313000e-04	 9.53682000e-07	 -5.58796000e-09	 -2.60771000e-08
 84951.807	 1.06000000e-03	 9.35153200e-04	 3.26756000e+02	 3.54890000e+01	 3.57630000e-07	 4.76841000e-07	 2.30075000e-04	 9.53682000e-07	 -9.31328000e-09	 -5.02916000e-08
 84952.807	 1.10000000e-03	 9.70442000e-04	 3.26754000e+02	 3.54890000e+01	 3.57630000e-07	 4.76841000e-07	 2.30075000e-04	 9.53682000e-07	 -9.31328000e-09	 -4.37724000e-08
 84953.807	 1.10000000e-03	 9.70442000e-04	 3.26755000e+02	 3.54890000e+01	 3.57630000e-07	 4.76841000e-07	 2.30194000e-04	 9.53682000e-07	 -4.65664000e-08	 -2.23519000e-08
 84954.807	 1.08000000e-03	 9.52797600e-04	 3.26755000e+02	 3.54890000e+01	 3.57630000e-07	 4.76841000e-07	 2.30075000e-04	 9.53682000e-07	 6.51929000e-09	 -3.81845000e-08
 84955.807	 1.10000000e-03	 9.70442000e-04	 3.26752000e+02	 3.54890000e+01	 3.57630000e-07	 3.57630000e-07	 2.30075000e-04	 9.53682000e-07	 0.00000000e+00	 -2.51458000e-08
 84956.807	 1.04000000e-03	 9.17508800e-04	 3.26750000e+02	 3.54900000e+01	 3.57630000e-07	 3.57630000e-07	 2.29956000e-04	 9.53682000e-07	 -9.31328000e-09	 -2.60771000e-08
 84957.807	 1.10000000e-03	 9.70442000e-04	 3.26750000e+02	 3.54900000e+01	 3.57630000e-07	 3.57630000e-07	 2.29956000e-04	 9.53682000e-07	 -2.04892000e-08	 -7.54376000e-08
 84958.807	 1.10000000e-03	 9.70442000e-04	 3.26748000e+02	 3.54900000e+01	 3.57630000e-07	 3.57630000e-07	 2.29956000e-04	 9.53682000e-07	 3.63218000e-08	 -4.47037000e-08
 84959.807	 1.08000000e-03	 9.52797600e-04	 3.26748000e+02	 3.54900000e+01	 3.57630000e-07	 4.76841000e-07	 2.30075000e-04	 9.53682000e-07	 1.49013000e-08	 -1.95579000e-08
 84960.807	 1.08000000e-03	 9.52797600e-04	 3.26745000e+02	 3.54900000e+01	 3.57630000e-07	 4.76841000e-07	 2.30075000e-04	 9.53682000e-07	 -2.60771000e-08	 -1.11759000e-08
 84961.807	 1.12000000e-03	 9.88086400e-04	 3.26743000e+02	 3.54910000e+01	 3.57630000e-07	 4.76841000e-07	 2.30075000e-04	 9.53682000e-07	 8.66135000e-08	 -4.56350000e-08
 84962.807	 1.08000000e-03	 9.52797600e-04	 3.26741000e+02	 3.54910000e+01	 3.57630000e-07	 4.76841000e-07	 2.30075000e-04	 9.53682000e-07	 6.05364000e-08	 2.98025000e-08
 84963.807	 1.12000000e-03	 9.88086400e-04	 3.26741000e+02	 3.54910000e+01	 3.57630000e-07	 3.57630000e-07	 2.29956000e-04	 9.53682000e-07	 8.66135000e-08	 -3.07339000e-08
 84964.807	 1.12000000e-03	 9.88086400e-04	 3.26739000e+02	 3.54910000e+01	 3.57630000e-07	 4.76841000e-07	 2.29956000e-04	 9.53682000e-07	 2.32832000e-08	 2.04892000e-08
 84965.807	 1.10000000e-03	 9.70442000e-04	 3.26740000e+02	 3.54910000e+01	 3.57630000e-07	 4.76841000e-07	 2.29836000e-04	 9.53682000e-07	 9.31328000e-09	 9.31328000e-09
 84966.807	 1.14000000e-03	 1.00573080e-03	 3.26737000e+02	 3.54920000e+01	 2.38420000e-07	 3.57630000e-07	 2.29836000e-04	 9.53682000e-07	 1.39699000e-08	 -1.86266000e-09
 84967.807	 1.10000000e-03	 9.70442000e-04	 3.26734000e+02	 3.54920000e+01	 3.57630000e-07	 3.57630000e-07	 2.29836000e-04	 9.53682000e-07	 -3.25965000e-08	 1.67639000e-08
 84968.807	 1.12000000e-03	 9.88086400e-04	 3.26732000e+02	 3.54920000e+01	 3.57630000e-07	 3.57630000e-07	 2.29956000e-04	 9.53682000e-07	 1.11759000e-08	 2.32832000e-08
